Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2019,"12        ",Female,17,Right-Handed,165,21,157,1,Car,6,0.638,51,Swimming,95,80,75,75,70,90,21,"Same length",75,70,"Index finger",April,Summer,No,No,Poultry,Water,"Mathematics and statistics",6,10,4,"Yes - broadband connection","Text messaging",100,100,5,0,13,5,0,0,10,20,5,0,16,0,"A lot","Graduate degree",Pop,Fly,Happy,"Community leader or elder",Environment
USA,NJ,2019,"11        ",Male,16,Right-Handed,182.9,11,185.4,1,Bus,25,1.2,2.27,Basketball,1000,1000,1000,1000,200,300,34,"Same length",27,31,"Ring finger",September,Summer,Yes,No,Meat,Milk,"Physical education",8,8,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",500,500,0,1,0,5,8,4,6,3,0,3,0,2,"Very little","Some college","Heavy metal",Fly,Happy,"Sports person",Health
USA,OH,2019,"7         ",Female,13,Right-Handed,160,21,165,1,Walk,15,0.725,50,Athletics,583,150,1000,583,96,332,23,"Left foot",90,75,"Index finger",January,Summer,No,No,Fruit,"Soft drink (non-caffeinated)","Physical education",8,4,3,"Yes - dial-up connection","In person",5,9,25,20,1,2,20,30,20,2,8,30,0,10,Some,"Graduate degree",Other,Telepathy,Healthy,Actor,Health
USA,NY,2019,"10        ",Female,16,Ambidextrous,65,21,156,1,Walk,15,.489,60,Gymnastics,200,400,100,100,500,1000,20.5,"Right foot",6.5,6,"Index finger",March,Spring,Yes,No,Pizza/Pasta,Juice,Science,6,8,4,,"Text messaging",150,100,34,2,14,1,3,9,10,10,10,5,3,1,Some,"Graduate degree",Classical,Telepathy,Happy,"Business person","Wildlife, animals"
USA,IN,2019,"12        ",Male,17,Right-Handed,172.7,24,174,2,Car,10,.497,48,Golf," 750",800,100,900,1000,1000,24,"Same length",62,64,"Ring finger",January,Spring,Yes,No,Meat,Tea,"Mathematics and statistics",7.5,9,4,"Yes - broadband connection","In person",6,5,5,1,8,10,28,0,4,1,3,8,8,0,"A lot","Graduate degree","Rap/Hip hop","Super strength",Rich,"Sports person",Health
USA,IA,2019,"12        ",Female,17,Right-Handed,178,28,176,1,Car,5,.446,47,Other,795,854,554,436,734,978,26,"Right foot",850,860,"Ring finger",March,Spring,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7,10,4,"Yes - broadband connection","In person",3,7,5,1,3,4,3,2,1,1,9,2,9,1,Some,"Graduate degree","Rock and roll",Invisibility,Happy,Teacher,Health
USA,AZ,2019,"12        ",Female,17,Right-Handed,152.4,23.8,79,1,Walk,"6 min",0.469,38,Other,600,800,860,600,400,600,24,"Left foot",60,60,"Same length",November,Winter,Yes,No,Meat,Water,Other,7,9,11,"Yes - broadband connection",,20,19,5,1,5,6,0,1,12,2,12,6,0,6,Some,"Graduate degree","Rhythm and blues (R&B)","Freeze time",Healthy,"Doctor or nurse",Health
USA,OH,2019,"7         ",Female,13,Right-Handed,,,,1,Bus,10," 0.72",45,Soccer,1000,1000,1000,1000,0,0,,,,,"Ring finger",February,Summer,No,No,Pizza/Pasta,Juice,"Computers and technology",6,8,7,"Yes - other","Text messaging",10?,15?,20,1,2,1,4,4,7,0.5,9,0.5,0,2.5,"A lot",Other,"Rap/Hip hop",Telepathy,Happy,Friend,Environment
USA,WA,2019,"11        ",Female,17,Right-Handed,153,22,150,1,Bus,25,0.624,44,Athletics,450,900,378,735,1,999,23,,80,75,"Index finger",October,Summer,Yes,No,Seafood,Water,"Physical education",7,10,5,"Yes - other","In person",400,390,7,1,1,2,2,0,18,8,12,1,0,2,Some,"Graduate degree",Reggae,Telepathy,Happy,Relative,"International aid"
USA,WA,2019,"11        ",Male,17,Right-Handed,178,27,174,2,Bus,15-20,0.336,39,"Football (American)",503,1000,1000,925,369,396,27,"Same length",80,100,"Same length",October,Fall,Yes,No,Meat,Water,History,6-7,8-10,3,"Yes - other","Text messaging",4,3,0,18min,28hrs,10hrs,120,0,8hrs,20min,0,2hrs,0,2hrs,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,Environment
