title,site,country,year_release,box_office,director,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
10 Rillington Place,http://www.imdb.com/title/tt0066730/,UK,1971,-,Richard Fleischer,John Christie,Criminal,Unknown,,0,Male,Richard Attenborough
12 Years a Slave,http://www.imdb.com/title/tt2024544/,US/UK,2013,$56.7M,Steve McQueen, Solomon Northup,Other,Known,African American,1,Male,Chiwetel Ejiofor
127 Hours,http://www.imdb.com/title/tt1542344/,US/UK,2010,$18.3M,Danny Boyle,Aron Ralston,Athlete,Unknown,,0,Male,James Franco
1987,http://www.imdb.com/title/tt2833074/,Canada,2014,-,Ricardo Trogi,Ricardo Trogi,Other,Known,White,0,Male,Jean-Carl Boucher
20 Dates,http://www.imdb.com/title/tt0138987/,US,1998,$537K,Myles Berkowitz,Myles Berkowitz,Other,Unknown,,0,Male,Myles Berkowitz
21,http://www.imdb.com/title/tt0478087/,US,2008,$81.2M,Robert Luketic,Jeff Ma,Other,Known,Asian American,1,Male,Jim Sturgess
24 Hour Party People,http://www.imdb.com/title/tt0274309/,UK,2002,$1.13M,Michael Winterbottom,Tony Wilson,Musician,Known,White,0,Male,Steve Coogan
42,http://www.imdb.com/title/tt0453562/,US,2013,$95M, Brian Helgeland,Jackie Robinson,Athlete,Known,African American,1,Male,Chadwick Boseman
8 Seconds,http://www.imdb.com/title/tt0109021/,US,1994,$19.6M,John G. Avildsen,Lane Frost,Athlete,Unknown,,0,Male,Luke Perry
A Beautiful Mind,http://www.imdb.com/title/tt0268978/,US,2001,$171M,Ron Howard,John Nash,Academic,Unknown,,0,Male,Russell Crowe
A Home of Our Own,http://www.imdb.com/title/tt0107130/,US,1993,$1.7M,Tony Bill,Frances Lacey,Other,Unknown,,0,Female,Kathy Bates
A Man Called Peter,http://www.imdb.com/title/tt0048337/,US,1955,-,Henry Koster,Peter Marshall,Other,Known,White,0,Male,Richard Todd
A Man for All Seasons,http://www.imdb.com/title/tt0060665/,UK,1966,-,Fred Zinnemann,Thomas More,Historical,Known,White,0,Male,Paul Scofield
A Song to Remember,http://www.imdb.com/title/tt0038104/,US,1945,-,Charles Vidor,Frederic Chopin,Musician,Known,White,0,Male,Cornel Wilde
Abe Lincoln in Illinois,http://www.imdb.com/title/tt0032181/,US,1940,-,John Cromwell,Abraham Lincoln,World leader,Known,White,0,Male,Raymond Massey
Above and Beyond,http://www.imdb.com/title/tt0044324/,US,1952,-,"Melvin Frank, Norman Panama",Paul Tibbets,Military,Unknown,,0,Male,Robert Taylor
Abraham Lincoln,http://www.imdb.com/title/tt0020620/,US,1930,-,D.W. Griffith,Abraham Lincoln,World leader,Known,White,0,Male,Walter Huston
Against the Ropes,http://www.imdb.com/title/tt0312329/,US,2004,$5.88M,Charles S. Dutton,Jackie Kallen,Athlete,Unknown,,0,Female,Meg Ryan
Al Capone,http://www.imdb.com/title/tt0052543/,US,1959,-,Richard Wilson,Al Capone,Criminal,Known,White,0,Male,Rod Steiger
Alexander,http://www.imdb.com/title/tt0346491/,US/UK,2004,$34.3M,Oliver Stone,Alexander the Great,Historical,Known,White,0,Male,Colin Farrell
Alexander the Great,http://www.imdb.com/title/tt0048937/,US,1956,-,Robert Rossen,Alexander the Great,Historical,Known,White,0,Male,Richard Burton
Ali,http://www.imdb.com/title/tt0248667/,US,2001,$58.2M,Michael Mann,Muhammad Ali,Athlete,Known,African American,1,Male,Will Smith
Alpha Dog,http://www.imdb.com/title/tt0426883/,US,2006,$15.2M,Nick Cassavetes,Jesse James Hollywood,Criminal,Unknown,,0,Male,Emile Hirsch
Amazing Grace,http://www.imdb.com/title/tt0454776/,US/UK,2006,$21.2M,Michael Apted,William Wilberforce,Other,Known,White,0,Male,Ioan Gruffudd
Amelia,http://www.imdb.com/title/tt1129445/,US/Canada,2009,$14.2M,Mira Nair,Amelia Earhart,Other,Known,White,0,Female,Hilary Swank
American Gangster,http://www.imdb.com/title/tt0765429/,US/UK,2007,$130M,Ridley Scott,Frank Lucas,Criminal,Known,African American,1,Male,Denzel Washington
American Me,http://www.imdb.com/title/tt0103671/,US,1992,$13.1M,Edward James Olmos,Rodolfo Cadena,Criminal,Known,Hispanic (Latino),1,Male,Edward James Olmos
American Sniper,http://www.imdb.com/title/tt2179136/,US,2014,$350M,Clint Eastwood,Chris Kyle,Military,Unknown,,0,Male,Bradley Cooper
American Splendor,http://www.imdb.com/title/tt0305206/,US,2003,$6M,"Shari Springer Berman, Robert Pulcini",Harvey Pekar,Comedian,Known,White,0,Male,Paul Giamatti
An Angel at My Table,http://www.imdb.com/title/tt0099040/,UK,1990,$1.1M,Jane Campion,Janet Frame,Author,Known,White,0,Female,Kerry Fox
Anastasia,http://www.imdb.com/title/tt0048947/,US,1956,-,Anatole Litvak,Anna Anderson / Anastasia,Other,Known,White,0,Female,Ingrid Bergman
Anna and the King of Siam,http://www.imdb.com/title/tt0038303/,US,1946,-,John Cromwell,Anna Leonowens,Other,Known,Multi racial,0,Female,Irene Dunne
Annie Get Your Gun,http://www.imdb.com/title/tt0042200/,US,1950,$8M,George Sidney,Annie Oakley,Athlete,Known,White,0,Female,Betty Hutton
Annie Oakley,http://www.imdb.com/title/tt0026073/,US,1935,-,George Stevens,Annie Oakley,Athlete,Known,White,0,Female,Barbara Stanwyck
Another Country,http://www.imdb.com/title/tt0086904/,UK,1984,-,Marek Kanievska,Guy Burgess,Military,Unknown,,0,Male,Rupert Everett
Antwone Fisher,http://www.imdb.com/title/tt0168786/,US,2002,$21.1M,Denzel Washington,Antwone Fisher,Military,Known,African American,1,Male,Derek Luke
Auto Focus,http://www.imdb.com/title/tt0298744/,US,2002,$2.06M,Paul Schrader,"Robert Edward ""Bob"" Crane",Actor,Known,White,0,Male,Greg Kinnear
