id,name,latitude,longitude,price,room_type,number_of_reviews
28823796,36m2 apartment renovated and furnished in 2017 CF,40.40224,-3.74277,1262,Entire home/apt,3
32861514,Bright and Modern flat in Nuevos Ministerios,40.44842,-3.70177,76,Entire home/apt,4
32306195,Cozy Apartment- 2BD 2BT- MALASAÑA W/ Pool,40.42605,-3.70155,110,Entire home/apt,17
36385719,Magnifico apartamento al lado del Wizink Center,40.42966,-3.67795,70,Entire home/apt,2
34931266,One bed room apartment in chamartin,40.46014,-3.68967,200,Entire home/apt,1
35895512,Cozy room in Sol,40.41453,-3.69554,25,Private room,1
18441218,"""Mi locura más tranquila""",40.40182,-3.70103,30,Private room,10
20291999,Salamanca Confort XV,40.43105,-3.66242,60,Entire home/apt,14
36300028,4 Habitación en Manuel Becerra,40.42927,-3.67241,24,Private room,0
1267730,Best Deal Chic VELAZQUEZ SUITE SOL,40.4167,-3.70371,75,Entire home/apt,176
37047656,Room in the HEART of Madrid!,40.41979,-3.7051,15,Private room,6
33854959,LOFT EN EL CENTRO DE SOL,40.41549000000001,-3.70497,138,Entire home/apt,2
29897998,Sunny Apartment at the foot of Pl. Real C. Segovia,40.4144,-3.71098,200,Entire home/apt,42
35154864,A gem in Barrio del Pilar - North side of Madrid,40.47759,-3.70667,55,Entire home/apt,1
13190733,"Ceiling in ""La Latina"" Neighborhood",40.4144,-3.70603,80,Entire home/apt,165
11728046,"Apartamento Cuzco, Bernabeu Licencia VT 4460",40.45776,-3.69573,95,Entire home/apt,190
35610382,Habitacion doble para el fin de semana en madrid,40.40504,-3.6792,27,Private room,3
18760896,America Confort XIII,40.44335,-3.66868,50,Entire home/apt,16
21758753,Habitación en piso precioso y muy céntrico,40.41859,-3.70103,40,Private room,8
25960225,"Cozy apartment in the center, Lavapiés",40.41006,-3.70143,120,Entire home/apt,5
7031649,"Accommodation Madrid, nice apartment",40.38314,-3.72266,19,Private room,77
38087934,Double Room with terrace and swimming pool,40.38541,-3.68708,20,Private room,0
21732039,New Apartament La Latina/Plz Mayor 6Pers Max,40.41293,-3.70879,91,Entire home/apt,124
21106357,Dos balcones luminosos,40.41027,-3.70289,60,Entire home/apt,61
37322344,"SV- CALLE DEL DESENGAÑO 13, 2E",40.42221,-3.70348,59,Entire home/apt,2
20991832,60Balconies Puerta del Sol,40.41745,-3.70612,240,Entire home/apt,65
17517955,"Luminosa habitación 20m2 en Barrio Salamanca, Goya",40.42875,-3.68068,26,Private room,14
14233157,Saga Rental La Latina Atico 5AI,40.40917,-3.71024,250,Entire home/apt,3
6283743,Habitacion 3 Céntrica Luminosa,40.42274000000001,-3.70815,31,Private room,335
24255840,HABITAC. DOBLE COMFORT. DOUBLE ROOM  CENTER MADRID,40.41105,-3.7051,27,Private room,84
22198896,plaza españa apartment,40.4238,-3.71101,80,Entire home/apt,22
29777822,"Habitación en Sanchinarro, zona norte de Madrid",40.48525,-3.65357,25,Private room,48
32606898,Your home en Madrid,40.39183,-3.73734,30,Private room,15
17244920,"Centric apartment 1 bedroom ""Princesa V""",40.42874000000001,-3.71261,90,Entire home/apt,9
36554050,3 Habitación en zona Princesa,40.42677,-3.71488,23,Private room,0
32890136,Solfai Vacacional 31,40.414,-3.69512,59,Entire home/apt,18
22922151,"HABITACIÓN INDIVIDUAL, CON TODAS LAS COMODIDADES",40.42692,-3.71697,40,Private room,9
18770632,Atico en Atocha,40.40845,-3.69492,73,Entire home/apt,3
9215638,Madrid en pequeño/in a Nutshell,40.42173,-3.7111,51,Entire home/apt,406
22186227,Habitación individual acogedora cerca del centro.,40.38324,-3.66681,27,Private room,28
38083231,Studio in the center of MAD-RETIRO PARK-3 PAX,40.42485,-3.68232,60,Entire home/apt,1
25371389,Nice room in historic building - Madrid center,40.41314000000001,-3.70676,20,Private room,17
19367226,Bonito apartamiento Madrid en zona Imperial,40.41322,-3.72075,100,Private room,0
35529868,Lovely apartment with patio in historic building,40.44905,-3.70633,85,Entire home/apt,4
3950979,Bright & cosy studio in Puerta del Sol by Allô,40.41735,-3.7056,90,Entire home/apt,10
31898876,Habitacion exterior en Madrid,40.4611,-3.78105,20,Private room,0
35990955,Apartamento en calle Jacometrezo,40.41983,-3.70791,75,Entire home/apt,0
34616488,Habitación Privada Champions League,40.46173,-3.70407,800,Private room,0
5232887,"Apartment in area Gran Via, Callao",40.42077000000001,-3.70787,125,Entire home/apt,122
35135562,Flirty 2 Bedroom flat - AMAZING LOCATION,40.41073,-3.6994,75,Entire home/apt,11
34422320,Precioso ático con terraza y piscina zona Retiro,40.40907,-3.67071,50,Entire home/apt,4
15471882,Castellana cerca del Bernabéu,40.462,-3.69115,60,Private room,2
22684063,Dos habitaciones muy cerca de Cuatro Caminos,40.45018,-3.70725,40,Private room,42
29844217,New floor of 104 m. Madrid Downtown - Atocha,40.41223,-3.69546,140,Entire home/apt,3
27208971,Loft in Las Letras Quarter -6pax~2BR-,40.41442,-3.69943,80,Entire home/apt,26
34174828,Cozy & Central Apt. in Triangle of Art-Madrid-4C,40.41387,-3.69626,79,Entire home/apt,14
37054813,Explore Madrid - Room in Shared Apartment,40.41293,-3.70762,20,Private room,1
36142186,Puerta Del Sol,40.41487,-3.70477,85,Entire home/apt,3
15036212,Céntrico loft moderno en Corrala histórica,40.40991,-3.70162,51,Entire home/apt,161
