ID,REGION,PROVINCIA,COMUNA,NOM_REGION,NOM_PROVIN,NOM_COMUNA,TOTAL_VIVI,PARTICULAR,COLECTIVAS,TOTAL_PERS,HOMBRES,MUJERES,DENSIDAD,INDICE_MAS,INDICE_DEP,IND_DEP_JU,IND_DEP_VE
12,15,151,15101,REGIÓN DE ARICA Y PARINACOTA,ARICA,ARICA,72639,72414,225,221364,109389,111975,46.2,97.7,48.9,32.7,16.2
25,15,151,15102,REGIÓN DE ARICA Y PARINACOTA,ARICA,CAMARONES,948,927,21,1255,726,529,0.3,137.2,46.8,22.7,24.1
243,15,152,15201,REGIÓN DE ARICA Y PARINACOTA,PARINACOTA,PUTRE,1917,1875,42,2765,2054,711,0.5,288.9,21.3,11,10.3
99,15,152,15202,REGIÓN DE ARICA Y PARINACOTA,PARINACOTA,GENERAL LAGOS,697,686,11,684,412,272,0.3,151.5,41.9,21.4,20.5
113,1,11,1101,REGIÓN DE TARAPACÁ,IQUIQUE,IQUIQUE,66986,66725,261,191468,94897,96571,83.7,98.3,43.8,30.5,13.3
5,1,11,1107,REGIÓN DE TARAPACÁ,IQUIQUE,ALTO HOSPICIO,33178,33162,16,108375,54206,54169,188.9,100.1,48.3,42,6.3
226,1,14,1401,REGIÓN DE TARAPACÁ,TAMARUGAL,POZO ALMONTE,8926,8884,42,15711,8987,6724,1.1,133.7,43.3,33,10.3
26,1,14,1402,REGIÓN DE TARAPACÁ,TAMARUGAL,CAMIÑA,1092,1088,4,1250,657,593,0.6,110.8,60.5,35.3,25.2
58,1,14,1403,REGIÓN DE TARAPACÁ,TAMARUGAL,COLCHANE,2030,2025,5,1728,995,733,0.4,135.7,36.4,19.9,16.5
108,1,14,1404,REGIÓN DE TARAPACÁ,TAMARUGAL,HUARA,2871,2863,8,2730,1501,1229,0.3,122.1,58.5,36.1,22.5
217,1,14,1405,REGIÓN DE TARAPACÁ,TAMARUGAL,PICA,2726,2703,23,9296,6550,2746,1,238.5,25.1,15.7,9.5
9,2,21,2101,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,112451,112275,176,361873,181846,180027,11.8,101,40.8,29.7,11.1
170,2,21,2102,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,MEJILLONES,4216,3976,240,13467,8035,5432,3.8,147.9,33.7,26.2,7.5
309,2,21,2103,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,SIERRA GORDA,570,527,43,10186,8662,1524,0.8,568.4,4.6,3.3,1.3
313,2,21,2104,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,TALTAL,4593,4548,45,13317,7481,5836,0.7,128.2,43.6,30.5,13.1
19,2,22,2201,REGIÓN DE ANTOFAGASTA,EL LOA,CALAMA,57307,56963,344,165731,86049,79682,10.6,108,40.8,31.4,9.4
189,2,22,2202,REGIÓN DE ANTOFAGASTA,EL LOA,OLLAGÜE,439,427,12,321,207,114,0.1,181.6,34.3,24.3,10
297,2,22,2203,REGIÓN DE ANTOFAGASTA,EL LOA,SAN PEDRO DE ATACAMA,4144,3972,172,10996,6161,4835,0.5,127.4,29.5,21.2,8.3
321,2,23,2301,REGIÓN DE ANTOFAGASTA,TOCOPILLA,TOCOPILLA,10670,10620,50,25186,12481,12705,6.2,98.2,52.8,36.6,16.2
165,2,23,2302,REGIÓN DE ANTOFAGASTA,TOCOPILLA,MARÍA ELENA,1959,1865,94,6457,4092,2365,0.5,173,25.2,19.4,5.8
68,3,31,3101,REGIÓN DE ATACAMA,COPIAPÓ,COPIAPÓ,55565,55453,112,153937,76627,77310,8.7,99.1,46.8,33.8,13
21,3,31,3102,REGIÓN DE ATACAMA,COPIAPÓ,CALDERA,15651,15612,39,17662,9094,8568,4.8,106.1,48.6,33.7,14.9
317,3,31,3103,REGIÓN DE ATACAMA,COPIAPÓ,TIERRA AMARILLA,4745,4705,40,14019,7796,6223,1.2,125.3,43.1,32.2,10.9
39,3,32,3201,REGIÓN DE ATACAMA,CHAÑARAL,CHAÑARAL,6153,6122,31,12219,6270,5949,2.1,105.4,54.2,37.2,17
81,3,32,3202,REGIÓN DE ATACAMA,CHAÑARAL,DIEGO DE ALMAGRO,6914,6812,102,13925,7486,6439,0.7,116.3,44.3,33.9,10.4
330,3,33,3301,REGIÓN DE ATACAMA,HUASCO,VALLENAR,19402,19339,63,51917,25422,26495,7.2,96,54.1,35.2,18.9
4,3,33,3302,REGIÓN DE ATACAMA,HUASCO,ALTO DEL CARMEN,2927,2903,24,5299,2925,2374,0.9,123.2,55.4,30,25.4
93,3,33,3303,REGIÓN DE ATACAMA,HUASCO,FREIRINA,3511,3498,13,7041,3557,3484,2.2,102.1,55.7,35.9,19.7
109,3,33,3304,REGIÓN DE ATACAMA,HUASCO,HUASCO,6226,6201,25,10149,5243,4906,6.3,106.9,51.7,33.6,18.1
126,4,41,4101,REGIÓN DE COQUIMBO,ELQUI,LA SERENA,87464,87267,197,221054,105836,115218,116.3,91.9,47.5,31.3,16.2
69,4,41,4102,REGIÓN DE COQUIMBO,ELQUI,COQUIMBO,89499,89339,160,227730,109872,117858,159.8,93.2,49.2,33.4,15.8
